"step_name","seconds","run_id","run_ts"
"TOTAL",771.701093435287,"20260421_121048","2026-04-21 12:10:48.40139"
"mi_single_pass",451.923486948013,"20260421_121048","2026-04-21 12:10:48.40139"
"mice_batch_8",33.8607819080353,"20260421_121048","2026-04-21 12:10:48.40139"
"mice_batch_7",33.1091368198395,"20260421_121048","2026-04-21 12:10:48.40139"
"mice_batch_5",32.3540420532227,"20260421_121048","2026-04-21 12:10:48.40139"
"mice_batch_6",32.1425149440765,"20260421_121048","2026-04-21 12:10:48.40139"
"mice_batch_9",32.0683741569519,"20260421_121048","2026-04-21 12:10:48.40139"
"mice_batch_4",31.717756986618,"20260421_121048","2026-04-21 12:10:48.40139"
"mice_batch_3",31.5716669559479,"20260421_121048","2026-04-21 12:10:48.40139"
"mice_batch_10",31.4682037830353,"20260421_121048","2026-04-21 12:10:48.40139"
"mice_batch_1",31.0968308448792,"20260421_121048","2026-04-21 12:10:48.40139"
"mice_batch_2",30.388298034668,"20260421_121048","2026-04-21 12:10:48.40139"
