"step_name","seconds","run_id","run_ts"
"TOTAL",332.050032377243,"20260421_094018","2026-04-21 09:40:18.841212"
"mi_single_pass",193.539501905441,"20260421_094018","2026-04-21 09:40:18.841212"
"mice_batch_10",15.7322819232941,"20260421_094018","2026-04-21 09:40:18.841212"
"mice_batch_6",13.8794732093811,"20260421_094018","2026-04-21 09:40:18.841212"
"mice_batch_8",13.7951490879059,"20260421_094018","2026-04-21 09:40:18.841212"
"mice_batch_1",13.6988401412964,"20260421_094018","2026-04-21 09:40:18.841212"
"mice_batch_3",13.6727020740509,"20260421_094018","2026-04-21 09:40:18.841212"
"mice_batch_5",13.6359939575195,"20260421_094018","2026-04-21 09:40:18.841212"
"mice_batch_9",13.6349680423737,"20260421_094018","2026-04-21 09:40:18.841212"
"mice_batch_7",13.617880821228,"20260421_094018","2026-04-21 09:40:18.841212"
"mice_batch_4",13.4931421279907,"20260421_094018","2026-04-21 09:40:18.841212"
"mice_batch_2",13.3500990867615,"20260421_094018","2026-04-21 09:40:18.841212"
