"group","imp","term","smd_pre","smd_post","abs_post","run_id","run_ts"
"ABG",1,"location:0",0.162828213772386,0.0897082279426972,0.0897082279426972,"20260415_003149","2026-04-15 00:31:49.347034"
"ABG",1,"encounter_type:Emergency",-0.378237836978805,-0.0806341465729016,0.0806341465729016,"20260415_003149","2026-04-15 00:31:49.347034"
"ABG",1,"encounter_type:Inpatient",0.378237836978805,0.0806341465728672,0.0806341465728672,"20260415_003149","2026-04-15 00:31:49.347034"
"ABG",1,"location:1",-0.129814078610578,-0.0718572906592785,0.0718572906592785,"20260415_003149","2026-04-15 00:31:49.347034"
"ABG",1,"curr_bmi",-0.228746036647933,-0.0511196640221829,0.0511196640221829,"20260415_003149","2026-04-15 00:31:49.347034"
"ABG",1,"age_at_encounter",0.110476808671534,0.0504393907130544,0.0504393907130544,"20260415_003149","2026-04-15 00:31:49.347034"
"ABG",1,"dbp",-0.166341103387482,-0.0374079741436848,0.0374079741436848,"20260415_003149","2026-04-15 00:31:49.347034"
"ABG",1,"serum_cr",0.0487643356172231,0.0367450165742491,0.0367450165742491,"20260415_003149","2026-04-15 00:31:49.347034"
"ABG",1,"ckd:0",-0.0504563731760944,-0.0339442765125235,0.0339442765125235,"20260415_003149","2026-04-15 00:31:49.347034"
"ABG",1,"ckd:1",0.0504563731760944,0.0339442765124945,0.0339442765124945,"20260415_003149","2026-04-15 00:31:49.347034"
"ABG",2,"location:0",0.162828213772386,0.0892871110526011,0.0892871110526011,"20260415_003149","2026-04-15 00:31:49.347034"
"ABG",2,"encounter_type:Emergency",-0.378237836978805,-0.0786897770728068,0.0786897770728068,"20260415_003149","2026-04-15 00:31:49.347034"
"ABG",2,"encounter_type:Inpatient",0.378237836978805,0.078689777072801,0.078689777072801,"20260415_003149","2026-04-15 00:31:49.347034"
"ABG",2,"location:1",-0.129814078610578,-0.0730625802155959,0.0730625802155959,"20260415_003149","2026-04-15 00:31:49.347034"
"ABG",2,"age_at_encounter",0.110476808671534,0.0499020278387748,0.0499020278387748,"20260415_003149","2026-04-15 00:31:49.347034"
"ABG",2,"curr_bmi",-0.228937526182571,-0.0496149802603738,0.0496149802603738,"20260415_003149","2026-04-15 00:31:49.347034"
"ABG",2,"serum_cr",0.0489090764638343,0.0383053781268004,0.0383053781268004,"20260415_003149","2026-04-15 00:31:49.347034"
"ABG",2,"dbp",-0.168384551561378,-0.0379105647966043,0.0379105647966043,"20260415_003149","2026-04-15 00:31:49.347034"
"ABG",2,"ckd:0",-0.0504563731760944,-0.0344253407370781,0.0344253407370781,"20260415_003149","2026-04-15 00:31:49.347034"
"ABG",2,"ckd:1",0.0504563731760944,0.034425340737057,0.034425340737057,"20260415_003149","2026-04-15 00:31:49.347034"
"ABG",3,"location:0",0.162828213772386,0.0892527046773036,0.0892527046773036,"20260415_003149","2026-04-15 00:31:49.347034"
"ABG",3,"encounter_type:Inpatient",0.378237836978805,0.0818243364023796,0.0818243364023796,"20260415_003149","2026-04-15 00:31:49.347034"
"ABG",3,"encounter_type:Emergency",-0.378237836978805,-0.0818243364023677,0.0818243364023677,"20260415_003149","2026-04-15 00:31:49.347034"
"ABG",3,"location:1",-0.129814078610578,-0.071957678427852,0.071957678427852,"20260415_003149","2026-04-15 00:31:49.347034"
"ABG",3,"curr_bmi",-0.232911904577822,-0.0527223472088691,0.0527223472088691,"20260415_003149","2026-04-15 00:31:49.347034"
"ABG",3,"age_at_encounter",0.110476808671534,0.0512910453794517,0.0512910453794517,"20260415_003149","2026-04-15 00:31:49.347034"
"ABG",3,"dbp",-0.165976587812239,-0.0370862975817672,0.0370862975817672,"20260415_003149","2026-04-15 00:31:49.347034"
"ABG",3,"serum_cr",0.0486550177788813,0.0366778908344997,0.0366778908344997,"20260415_003149","2026-04-15 00:31:49.347034"
"ABG",3,"ckd:1",0.0504563731760944,0.034131746948186,0.034131746948186,"20260415_003149","2026-04-15 00:31:49.347034"
"ABG",3,"ckd:0",-0.0504563731760944,-0.034131746948158,0.034131746948158,"20260415_003149","2026-04-15 00:31:49.347034"
"ABG",4,"location:0",0.162828213772386,0.08977492954299,0.08977492954299,"20260415_003149","2026-04-15 00:31:49.347034"
"ABG",4,"encounter_type:Emergency",-0.378237836978805,-0.0807739579354162,0.0807739579354162,"20260415_003149","2026-04-15 00:31:49.347034"
"ABG",4,"encounter_type:Inpatient",0.378237836978805,0.0807739579353813,0.0807739579353813,"20260415_003149","2026-04-15 00:31:49.347034"
"ABG",4,"location:1",-0.129814078610578,-0.0730136914281358,0.0730136914281358,"20260415_003149","2026-04-15 00:31:49.347034"
"ABG",4,"curr_bmi",-0.231462695385908,-0.0510176473224856,0.0510176473224856,"20260415_003149","2026-04-15 00:31:49.347034"
"ABG",4,"age_at_encounter",0.110476808671534,0.0508488554878112,0.0508488554878112,"20260415_003149","2026-04-15 00:31:49.347034"
