"variable","pct_missing","run_id","run_ts"
"vbg_co2",71.1205236811706,"20260301_131122","2026-03-01 13:11:22.14127"
"paco2",64.6322680015402,"20260301_131122","2026-03-01 13:11:22.14127"
"serum_lac",60.8779360800924,"20260301_131122","2026-03-01 13:11:22.14127"
"curr_bmi",56.1031959953793,"20260301_131122","2026-03-01 13:11:22.14127"
"serum_phos",52.9457065845206,"20260301_131122","2026-03-01 13:11:22.14127"
"temp_new",48.6137851366962,"20260301_131122","2026-03-01 13:11:22.14127"
"hr",36.0415864458991,"20260301_131122","2026-03-01 13:11:22.14127"
"dbp",30.747015787447,"20260301_131122","2026-03-01 13:11:22.14127"
"sbp",30.4197150558337,"20260301_131122","2026-03-01 13:11:22.14127"
"wbc",17.9437812860993,"20260301_131122","2026-03-01 13:11:22.14127"
"serum_ca",10.5313823642665,"20260301_131122","2026-03-01 13:11:22.14127"
"serum_cr",9.62649210627647,"20260301_131122","2026-03-01 13:11:22.14127"
"plt",8.22102425876011,"20260301_131122","2026-03-01 13:11:22.14127"
"serum_k",7.87447054293416,"20260301_131122","2026-03-01 13:11:22.14127"
"serum_cl",5.77589526376588,"20260301_131122","2026-03-01 13:11:22.14127"
"serum_hco3",5.75664227955333,"20260301_131122","2026-03-01 13:11:22.14127"
"sodium",5.17905275317674,"20260301_131122","2026-03-01 13:11:22.14127"
"age_at_encounter",0,"20260301_131122","2026-03-01 13:11:22.14127"
"sex",0,"20260301_131122","2026-03-01 13:11:22.14127"
"race_ethnicity",0,"20260301_131122","2026-03-01 13:11:22.14127"
"copd",0,"20260301_131122","2026-03-01 13:11:22.14127"
"asthma",0,"20260301_131122","2026-03-01 13:11:22.14127"
"osa",0,"20260301_131122","2026-03-01 13:11:22.14127"
"chf",0,"20260301_131122","2026-03-01 13:11:22.14127"
"acute_nmd",0,"20260301_131122","2026-03-01 13:11:22.14127"
"phtn",0,"20260301_131122","2026-03-01 13:11:22.14127"
"ckd",0,"20260301_131122","2026-03-01 13:11:22.14127"
"dm",0,"20260301_131122","2026-03-01 13:11:22.14127"
"location",0,"20260301_131122","2026-03-01 13:11:22.14127"
"encounter_type",0,"20260301_131122","2026-03-01 13:11:22.14127"
"imv_proc",0,"20260301_131122","2026-03-01 13:11:22.14127"
"niv_proc",0,"20260301_131122","2026-03-01 13:11:22.14127"
"hypercap_resp_failure",0,"20260301_131122","2026-03-01 13:11:22.14127"
